item_date_published,date,item_title,item_description,item_link
2018-06-05T09:50:45Z,2018-06-05,"“Charm City,” Part 2: The Legacy of Zero-Tolerance Policing","<p>Relations between the police and the community in Baltimore weren’t always so troubled. But as job loss and drugs tore through the city, the policing idea of so-called zero tolerance, transplanted from New York City, created a generation of young men with criminal records. For more information on today’s episode, visit nytimes.com/thedaily.</p><p>This episode includes disturbing language and scenes of graphic violence.</p>",NA
2018-06-04T10:01:09Z,2018-06-04,"“Charm City,” Part 1: Baltimore After Freddie Gray","<p>“The Daily” presents a five-part series about the life and death of a Baltimore teenager known as Nook, who was fatally shot by a police officer a year after the killing of Freddie Gray. Nook’s family is searching for truth from the streets where he died, the police who took his life and the city that won’t give them answers. For more information on today’s episode, visit nytimes.com/thedaily.</p><p>This episode includes disturbing language and scenes of graphic violence.</p>",NA
2018-06-02T09:45:00Z,2018-06-02,"The Daily Presents “Caliphate,” Chapter 7","<p>The New York Times has introduced a documentary audio series that follows Rukmini Callimachi, who covers terrorism for The Times, on her quest to understand ISIS. Today, as a special episode of “The Daily,” we offer Chapter 7 of “Caliphate,” in which Rukmini examines what ISIS left behind as their hold on Mosul crumbled. For more information about the series, visit nytimes.com/caliphate.</p><p>This episode includes disturbing language and scenes of graphic violence.</p>",NA
2018-06-01T09:51:25Z,2018-06-01,When Democratic Newcomers Challenge the Party Line,"<p>Alarm over the election of Donald Trump spurred dozens of first-time candidates to run for Congress. Some of those candidates now present a problem for the Democratic Party. Guests: Mai Khanh Tran, a Democratic candidate running for the United States House in California; Alexander Burns, who covers national politics for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-31T09:55:13Z,2018-05-31,The Truth Behind #WhereAreTheChildren,"<p>The United States government lost track of nearly 1,500 undocumented children in the last three months of 2017, giving rise to claims that they had been separated from their families at the border. What does the confusion reveal about President Trump’s approach to immigration? Guest: Caitlin Dickerson, a national immigration reporter for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-30T09:55:08Z,2018-05-30,Was Kevin Cooper Framed for Murder?,"<p>The sole survivor of an attack in which four people were murdered identified the perpetrators as three white men. The police ignored suspects who fit the description and arrested a young black man instead. He is now awaiting execution. Guests: Kevin Cooper, who has been on death row at San Quentin State Prison in California for three decades; Nicholas Kristof, a New York Times columnist who has written about Mr. Cooper’s case. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-29T09:54:59Z,2018-05-29,What Trump Learned From Clinton’s Impeachment,"<p>Twenty years ago, President Bill Clinton survived impeachment after casting himself as the target of partisan motives. What lessons has President Trump gleaned from that strategy? Guest: Peter Baker, the chief White House correspondent for The New York Times, who covered the investigation and impeachment of Mr. Clinton. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-26T09:52:00Z,2018-05-26,"The Daily Presents “Caliphate,” Chapter 6","<p>The New York Times has introduced a documentary audio series that follows Rukmini Callimachi, who covers terrorism for The Times, on her quest to understand ISIS. Today, as a special episode of “The Daily,” we offer Chapter 6 of “Caliphate,” in which Rukmini’s doubt fuels a quest to uncover the truth. For more information about the series, visit nytimes.com/caliphate.</p><p>This episode includes disturbing language and scenes of graphic violence.</p>",NA
2018-05-25T09:56:42Z,2018-05-25,“Dear Mr. Chairman …”,"<p>President Trump abruptly canceled on Thursday the highly anticipated summit meeting with Kim Jong-un, the leader of North Korea, that was scheduled to take place on June 12. In a letter to Mr. Kim announcing his decision, Mr. Trump wrote, “The world, and North Korea in particular, has lost a great opportunity for lasting peace.” Guest: Mark Landler, who covers the White House for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-24T10:03:30Z,2018-05-24,Putting “Fake News” on Trial,"<p>The families of children killed at Sandy Hook Elementary School in Newtown, Conn., in 2012 are suing a conspiracy theorist who claims the massacre was a hoax. Their lawsuits are bringing the issue of “fake news” to the courts. Guest: Elizabeth Williamson, a reporter in the Washington bureau of The New York Times. For more information on today’s episode, visit nytimes.com/thedaily. </p>",NA
2018-05-23T09:54:34Z,2018-05-23,A Crossroads for the Democratic Party,"<p>In Georgia, two women were locked in a close race for the Democratic nomination for governor. What does this primary tell us about the future of the Democratic Party? Guest: Jonathan Martin, a national political correspondent for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-22T09:51:58Z,2018-05-22,Rod Rosenstein’s Impossible Choice,"<p>President Trump has asked the Justice Department to look into whether the F.B.I. infiltrated his campaign in 2016 for political purposes. In response, the department granted the president’s team access to highly classified information from the special counsel’s Russia investigation. What’s behind this decision? Guest: Julie Hirschfeld Davis, who covers the White House for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-21T09:55:18Z,2018-05-21,North Korea’s Fear? Becoming Libya,"<p>John R. Bolton, President Trump’s new national security adviser, has said that negotiations with North Korea should follow “the Libya model.” Now, North Korea is threatening to call off the planned summit meeting with Mr. Trump. What risks does the Libya model hold for Kim Jong-un? Guest: Mark Landler, a White House correspondent for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-19T09:45:00Z,2018-05-19,"The Daily Presents “Caliphate,” Chapter 5","<p>The New York Times has introduced a documentary audio series that follows Rukmini Callimachi, who covers terrorism for The Times, on her quest to understand ISIS. Today, as a special episode of “The Daily,” we offer Chapter 5 of “Caliphate,” in which an ISIS recruit carries out a killing — then questions everything. For more information about the series, visit nytimes.com/caliphate.</p><p>This episode includes disturbing language and scenes of graphic violence.</p>",NA
2018-05-18T09:55:25Z,2018-05-18,Does Mueller Have a Plan for Trump?,"<p>White House lawyers have claimed that Robert S. Mueller III, the special counsel overseeing the Russia investigation, will not indict the president, regardless of his findings. If that’s true, then what is the purpose of his inquiry? Guest: Michael S. Schmidt, a Washington correspondent who covers national security and federal investigations for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-17T09:53:41Z,2018-05-17,A Child of Gaza Becomes a Political Symbol,"<p>The death of a Palestinian baby during the protests in Gaza became a rallying cry for critics of Israel. Within hours, the family’s story was being questioned. Guest: Declan Walsh, the Cairo bureau chief for The New York Times, who has been reporting from Gaza. For more information on today’s episode, visit nytimes.com/thedaily. </p>",NA
2018-05-16T09:54:58Z,2018-05-16,When Facebook Rumors Incite Real Violence,"<p>A series of damning posts on Facebook has stoked longstanding ethnic tensions in Sri Lanka, setting off a wave of violence largely directed at Muslims. How are false rumors on social media fueling real-world attacks? Guests: Max Fisher and Amanda Taub, who have reported on Sri Lanka for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-15T10:06:43Z,2018-05-15,Two Views of the U.S. Embassy in Jerusalem,"<p>Many Israelis see the relocation of the United States Embassy to Jerusalem from Tel Aviv as a historic milestone for the Jewish state. But for Palestinians, who hope to see the eastern part of Jerusalem as the capital of a Palestinian state, it’s a betrayal. Guests: David M. Halbfinger, the Jerusalem bureau chief of The New York Times, and Declan Walsh, The Times’s Cairo bureau chief, who has been reporting from Gaza this week. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-14T09:54:50Z,2018-05-14,The Prospect of Peace With North Korea,"<p>The time and place for a historic meeting between the president of the United States and the leader of North Korea have been set. Does President Trump deserve credit for the diplomatic breakthrough on the Korean Peninsula? Guest: Nicholas Kristof, a New York Times columnist who writes about human rights and global affairs, and who has repeatedly traveled to North Korea for The Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-12T09:45:00Z,2018-05-12,"The Daily Presents “Caliphate,” Chapter 4","<p>The New York Times has introduced a documentary audio series that follows Rukmini Callimachi, who covers terrorism for The Times, on her quest to understand ISIS. Today, as a special episode of “The Daily,” we offer Chapter 4 of “Caliphate,” in which a new recruit proves his worth and gets invited to a secret meeting. For more information about the series, visit nytimes.com/caliphate.</p><p>This episode includes disturbing language and scenes of graphic violence.</p>",NA
2018-05-11T09:56:13Z,2018-05-11,A Life-or-Death Crisis for Black Mothers,"<p>Black mothers and infants in the United States are far more likely to die from pregnancy-related causes than their white counterparts. The disparity is tied intrinsically to the lived experience of being a black woman in America. Guests: Linda Villarosa, a contributing writer for The New York Times Magazine, and Simone Landrum, a young mother in New Orleans. For more information on today’s episode, visit nytimes.com/thedaily. </p>",NA
2018-05-10T09:45:28Z,2018-05-10,The C.I.A.’s Moral Reckoning,"<p>Gina Haspel, President Trump’s pick for C.I.A. director, faced the Senate Intelligence Committee for the first time on Wednesday as her confirmation hearings began. Lawmakers addressed her with an unusual line of questioning: What is your moral character? Guest: Matthew Rosenberg, who covers intelligence and national security for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-09T09:54:27Z,2018-05-09,The Breakdown of the Iran Nuclear Deal,"<p>President Trump has withdrawn the United States from the Iran nuclear deal, calling it “decaying and rotten.” Why did President Barack Obama sign it in the first place? Guest: Mark Landler, a White House correspondent for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-08T09:53:37Z,2018-05-08,Gina Haspel and the Shadow of Torture,"<p>The Central Intelligence Agency is waging an unusual campaign to make Gina Haspel its next leader, despite her polarizing past. Why do officers see her most controversial quality as her greatest asset? Guests: Adam Goldman, a reporter who covers the intelligence community for The Times; John Bennett, a former chief of the C.I.A.’s clandestine service who retired in 2013. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-07T09:47:22Z,2018-05-07,The Return of Rudy Giuliani,"<p>Since joining President Trump’s legal team, Rudolph W. Giuliani has repeatedly made attention-grabbing TV appearances in which he has antagonized Robert S. Mueller III, the special counsel overseeing the Russia investigation. The strategy is reminiscent of one that Mr. Giuliani has used before — 30 years ago, as a prosecutor in New York City taking on the Mafia. Guest: Michael Winerip, who covered Mr. Giuliani’s rise as a Manhattan prosecutor in the 1980s for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-05T09:55:00Z,2018-05-05,"The Daily Presents “Caliphate,” Chapter 3","<p>The New York Times has introduced a documentary audio series that follows Rukmini Callimachi, who covers terrorism for The Times, on her quest to understand ISIS. Today, as a special episode of “The Daily,” we offer Chapter 3 of “Caliphate,” in which ISIS turns fantasy into reality for a new recruit. For more information about the series, visit nytimes.com/caliphate.</p><p>This episode includes disturbing language and scenes of graphic violence.</p>",NA
2018-05-04T09:52:08Z,2018-05-04,The Hunt for the Golden State Killer,"<p>An investigator was on the verge of retirement, having never completed his decades-long mission to catch the Golden State Killer. Then he had an idea: Upload DNA evidence to a genealogy website. Guest: Paul Holes, who helped to crack the case. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-03T09:51:48Z,2018-05-03,Sexual Harassment's Toll on Careers,"<p>In a case that highlights the economic consequences of sexual harassment and retaliation, Ashley Judd is suing Harvey Weinstein for the damage he did to her career after she rebuffed his advances. And in the second part of the episode, three women who pioneered the language of consent reflect on being far ahead of their time on the politics of sex. Guests: Jodi Kantor, an investigative reporter at The New York Times; Juliet Brown, Christelle Evans and Bethany Saltman, who helped to establish an&nbsp;affirmative consent policy for sex at Antioch College in 1990. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-02T09:54:18Z,2018-05-02,The Taxi Driver's Plight,"<p>A New York City taxi driver, Nicanor Ochisor, took his own life in March. His family says he grew increasingly hopeless as ride-hailing services like Uber took over the industry. Mr. Ochisor’s suicide is one of several in recent months that have called attention to the economic straits of professional drivers. Guest: Nicolae Hent, who has been a taxi driver in New York City for three decades and was a friend of Mr. Ochisor. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-05-01T09:56:09Z,2018-05-01,Mueller’s Questions for Trump,"<p>The New York Times has obtained the list of questions that Robert S. Mueller III, the special counsel looking into Russia’s election interference, wants to ask President Trump. The wide-ranging queries offer a rare view into an investigation that has been shrouded in secrecy. Guest: Michael S. Schmidt, who has been covering the Russia investigation for The Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-04-30T09:55:45Z,2018-04-30,A Family Divided by the Korean War,"<p>In a historic summit meeting, North and South Korea vowed to pursue a peace treaty to formally end the Korean War after more than 65 years. That could bring reunions for the thousands of families who have been separated since the war broke out. Guest: Sylvia Nam, whose grandfather went to North Korea just after the Korean War started and never returned. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-04-28T09:55:00Z,2018-04-28,"The Daily Presents “Caliphate,” Chapter 2","<p>The New York Times has introduced a documentary audio series that follows Rukmini Callimachi, who covers terrorism for The Times, on her quest to understand ISIS. Today, as a special episode of “The Daily,” we offer Chapter 2 of “Caliphate,” in which Rukmini speaks with a former ISIS member about how and why he joined the fold. For more information about the series, visit nytimes.com/caliphate.</p><p>This episode includes disturbing language and scenes of graphic violence.</p>",NA
2018-04-27T09:55:33Z,2018-04-27,The Cosby Verdict and #MeToo,"<p>Bill Cosby has been convicted of sexual assault following years of accusations from dozens of women. What changed between the first trial, which ended in a hung jury, and this one? Guests: Graham Bowley, an investigative reporter at The Times who has been covering the Cosby proceedings; Lili Bernard, a former guest star on “The Cosby Show” and one of more than 50 women who have spoken out against the entertainer. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-04-26T09:53:11Z,2018-04-26,Trump’s Travel Ban Goes to the Supreme Court,"<p>After being blocked for months by lower courts, President Trump’s executive orders that restricted travel from several predominantly Muslim nations have finally reached the Supreme Court. The justices seem focused on one question: Should the president’s authority have anything to do with his personal beliefs? Guest: Adam Liptak, who covers the Supreme Court for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-04-25T09:50:42Z,2018-04-25,The Allegations Against Ronny Jackson,"<p>The nomination of Dr. Ronny L. Jackson, President Trump’s personal doctor, as the next head of Veterans Affairs has come to an abrupt stop. Now, Congress is beginning to examine several alarming allegations from unidentified whistle-blowers that derailed the doctor’s Senate confirmation process. Guest: Michael D. Shear, a White House correspondent for The Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-04-24T09:52:01Z,2018-04-24,Hong Kong's Missing Bookseller,"<p>When the owner of a thriving bookstore in Hong Kong disappeared in October 2015, questions swirled. What happened? And what did the Chinese government have to do with it? Guest: Alex W. Palmer, a Beijing-based writer who has reported on China for The New York Times Magazine. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-04-23T09:54:28Z,2018-04-23,"After a Suspected Chemical Attack, a Syrian Tells His Story","<p>The United States says that the suspected chemical weapons attack on the rebel-held town of Douma, Syria, this month was part of a military push by President Bashar al-Assad’s government to break the will of the people still living there. One of them tells his story. Guest: Mahmoud Bwedany, who grew up in Douma and was there when Syrian forces attacked this month. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-04-20T09:49:59Z,2018-04-20,"James Comey Opens Up About Ego, Distrust and More","<p>James B. Comey, the former F.B.I. director, had an elaborate plan to make public his memos documenting his interactions with President Trump, in the hopes of prompting the appointment of a special counsel. In an interview, he explains his decision to take matters into his own hands. Guest: Mr. Comey. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-04-19T09:50:00Z,2018-04-19,"Introducing “Caliphate,” a New York Times Audio Series","<p>The New York Times presents a documentary audio series that follows Rukmini Callimachi, a foreign correspondent for The Times and a frequent voice on “The Daily,” as she reports on the Islamic State and the fall of the Iraqi city of Mosul. With the producer Andy Mills, Rukmini journeys to the heart of the conflict to grapple with the most pressing questions about ISIS and to comprehend the power and global pull of the militant group.</p><p>Today, instead of our usual show, we offer the Prologue and Chapter 1 of “Caliphate.” For more information about the series, visit nytimes.com/caliphate.</p><p>This episode includes disturbing language and scenes of graphic violence.</p>",NA
2018-04-18T09:54:23Z,2018-04-18,"Wednesday, Apr. 18, 2018","<p>The firing of a professional cheerleader has drawn attention to an industry that seemed to be operating outside the #MeToo movement. But now, sports teams are being drawn into it. Guest: Annie Brown, a producer on “The Daily,” speaks with Bailey Davis, the New Orleans Saints cheerleader who was fired for violating the team’s social media policy. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-04-17T09:55:03Z,2018-04-17,"Tuesday, Apr. 17, 2018","<p>For months, the federal investigation into possible links between the Trump campaign and Russia focused on Washington. Now, the inquiry has led back to New York, the president’s hometown, and to one man: Michael D. Cohen. Guest: Jim Rutenberg, who has been reporting on Mr. Cohen, President Trump’s longtime personal lawyer, for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-04-16T09:53:07Z,2018-04-16,"Monday, Apr. 16, 2018","<p>A battle is brewing between the Environmental Protection Agency, which wants to weaken auto emissions standards, and the state of California. Separately, James Comey, the F.B.I. director fired by President Trump, went on national television to call the president “morally unfit.” Guest: Coral Davenport, who covers environmental policy for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-04-13T09:48:37Z,2018-04-13,"Friday, Apr. 13, 2018","<p>Days after a suspected chemical attack killed dozens of Syrian civilians, President Trump promised retaliation. Now, Mr. Trump and his national security advisers are trying to decide how the United States should respond. Guest: Helene Cooper, a Pentagon correspondent for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-04-12T09:52:34Z,2018-04-12,"Thursday, Apr. 12, 2018","<p>Mark Zuckerberg, Facebook’s chief executive, returned to Capitol Hill on Wednesday for a second day of hearings on the company’s mishandling of data. Unlike their Senate colleagues, House members came prepared with tough questions about privacy and the social media company’s practices — as well as a counternarrative to the story Mr. Zuckerberg and his team have carefully crafted. And calls for congressional oversight are growing. Guest: Kevin Roose, who writes about technology for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-04-11T09:53:12Z,2018-04-11,"Wednesday, Apr. 11, 2018","<p>Mark Zuckerberg, the Facebook chief executive, began two days of marathon hearings in Washington, answering tough questions on the company’s mishandling of data. But the hours of testimony about the social media company’s practices seemed to focus on a larger, more difficult question: What is Facebook, exactly? Guest: Kevin Roose, who writes about technology for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-04-10T09:52:14Z,2018-04-10,"Tuesday, Apr. 10, 2018","<p>The F.B.I. has raided the home of President Trump’s personal lawyer, Michael D. Cohen — the same man who acknowledged paying $130,000 to a pornographic film actress who said she had a sexual encounter with Mr. Trump. What are investigators looking for? Guest: Matt Apuzzo, who covers law enforcement for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-04-09T09:52:35Z,2018-04-09,"Monday, Apr. 9, 2018","<p>President Trump has warned that there will be a “big price to pay” after yet another suspected chemical weapons attack on Syrians. But the suspicion that the Assad regime continues to use those weapons suggests it views the United States as being focused on a different fight. Guest: Ben Hubbard, who covers the Middle East for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2018-04-06T10:08:11Z,2018-04-06,"Friday, Apr. 6, 2018","<p>On local TV stations across the United States, news anchors have been delivering the exact same message to their viewers. “Our greatest responsibility,” they begin by saying, “is to serve our communities.” But what they are being forced to say next has left many questioning whom those stations are really being asked to serve. Guests: Sydney Ember, a New York Times business reporter who covers print and digital media; Aaron Weiss, who worked several years ago as a news director for Sinclair in Sioux City, Iowa. For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p>",NA
2018-04-05T09:50:08Z,2018-04-05,"Thursday, Apr. 5, 2018","<p>Many farmers across the Midwest voted for Donald J. Trump in the 2016 election but hoped he would never follow through on his threats to impose tariffs on China. They feared that they would suffer if China imposed its own tariffs as payback. Now, Beijing has done just that, proposing tariffs on 106 types of American goods — including soybeans, corn and pork — in retaliation for President Trump’s plans to penalize Chinese trade practices.&nbsp;Guest: Eldon Gould, a farmer in Illinois who voted for President Trump. For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p>",https://www.nytimes.com/2018/04/05/podcasts/the-daily/us-china-tariffs.html
2018-04-04T09:38:32Z,2018-04-04,"Wednesday, Apr. 4, 2018","<p>It started with a report on Fox News, and ended with calls for United States troops at the border with Mexico. We look at how President Trump’s approach to immigration transformed over just 72 hours. Guest: Julie Hirschfeld Davis, who covers the White House for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p>",https://www.nytimes.com/2018/04/04/podcasts/the-daily/trump-mexico-us-border.html
2018-04-03T09:38:23Z,2018-04-03,"Tuesday, Apr. 3, 2018","<p>The Second Amendment is just 27 words long. But those 27 words are among the most cryptic and divisive in the United States Constitution — and they are at the heart of one of the most contentious debates in American politics. Why is the Supreme Court so reluctant to clarify them? Guest: Adam Liptak, who covers the Supreme Court for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p>",https://www.nytimes.com/2018/04/03/podcasts/the-daily/second-amendment-supreme-court.html
2018-04-02T09:39:27Z,2018-04-02,"Monday, Apr. 2, 2018","<p>President Trump’s son-in-law wants to overhaul the prison system. The president’s attorney general bitterly opposes such a move. That has set the scene for a highly personal battle inside the White House. Guest: Matt Apuzzo, a New York Times reporter based in Washington. For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p>",https://www.nytimes.com/2018/04/02/podcasts/the-daily/us-prison-reform.html
2018-03-30T09:57:01Z,2018-03-30,"Friday, March 30, 2018","<p>Behind the landmark Supreme Court ruling of Brown v. Board of Education was a girl named Linda Brown, whose story led to states being ordered to desegregate schools, mostly against their will. Ms. Brown died on Sunday. Who was she, and what has changed in the 64 years since the case was decided? Guest: Nikole Hannah-Jones, an investigative reporter covering race and civil rights for The New York Times Magazine. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-03-29T09:43:09Z,2018-03-29,"Thursday, March 29, 2018","<p>As the special counsel built his case against Michael T. Flynn and Paul Manafort, pressure was mounting for the men to to cooperate with the Russia inquiry. Then a lawyer for President Trump came to them with an idea: What if the president were to pardon his former advisers? Guest: Michael S. Schmidt, who has been covering the Russia investigation for The New York Times. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-03-28T09:52:12Z,2018-03-28,"Wednesday, March 28, 2018","<p>President Trump has chosen John R. Bolton to be his new national security adviser. In 2005, a Republican-controlled Senate committee refused to confirm Mr. Bolton as President George W. Bush’s ambassador to the United Nations. We look back at those confirmation hearings, which portrayed Mr. Bolton as a threat to national security. Guest: Elizabeth Williamson, who writes about Washington in the Trump era for The New York Times. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-03-27T09:51:24Z,2018-03-27,"Tuesday, March 27, 2018","<p>Eight years ago, the United States and Russia agreed to a spy swap that sent a Russian double agent to safety in Britain. That former spy and his daughter were poisoned by a nerve agent this month, and the Kremlin has been &nbsp;accused of orchestrating the attack. Why did it happen now? Guest: Peter Baker, the chief White House correspondent for The New York Times. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-03-26T09:51:15Z,2018-03-26,"Monday, March 26, 2018","<p>As hundreds of thousand of demonstrators prepared to march in Washington in response to the school shooting in Parkland, Fla., students on the South Side of Chicago felt sympathy, but also frustration. Why hadn’t the gun violence in their community earned the nation’s outrage? Guest: Sameen Amin, &nbsp;a senior video producer at The New York Times. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-03-23T10:07:40Z,2018-03-23,"Friday, March 23, 2018","<p>For decades, Americans have believed that the best way to end racial inequality is to end class inequality. But a landmark 30-year study is debunking that logic. Guests: Emily Badger, who writes about cities and urban policy for The Upshot; William O. Jawando, who worked in the Obama administration on My Brother’s Keeper, a mentoring initiative for black boys. For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p>",NA
2018-03-22T09:47:49Z,2018-03-22,"Thursday, March 22, 2018","<p>Five days after details about Cambridge Analytica’s mining of data were made public, Mark Zuckerberg, the chief executive of Facebook, broke his silence on his company’s role in the data breach. Minutes after posting a statement on Facebook, he spoke with The New York Times. Guest: Kevin Roose, a business columnist for The Times. For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p>",NA
2018-03-21T09:45:42Z,2018-03-21,"Wednesday, Mar. 21, 2018","<p>A young Canadian data expert came up with a plan to harvest people’s personal data from Facebook, and to use that information to influence their voting. How did the brains behind Cambridge Analytica become its whistle-blower? Guest: Matthew Rosenberg, a New York Times reporter in Washington. For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p>",https://www.nytimes.com/2018/03/21/podcasts/the-daily/cambridge-analytica-facebook-data.html
2018-03-20T09:48:00Z,2018-03-20,"Tuesday, Mar. 20, 2018","<p>President Vladimir V. Putin of Russia, facing no real challenger, has been elected to a fourth term, drawing support from more than three-quarters of voters. How is the most powerful man in Russia staying that way? Guest: Steven Lee Myers, a former Moscow bureau chief of The New York Times who covered Mr. Putin’s rise to power and who is the author of “The New Tsar: The Rise and Reign of Vladimir Putin.” For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p>",NA
2018-03-19T09:47:23Z,2018-03-19,"Monday, Mar. 19, 2018","<p>President Trump called the firing of Andrew G. McCabe, the deputy F.B.I. director, a “great day for democracy.” Mr. McCabe says it’s further evidence of the president’s efforts to undermine the Russia investigation. What really happened? Guest: Matt Apuzzo, a New York Times reporter in Washington. For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p>",NA
2018-03-16T09:53:07Z,2018-03-16,"Friday, Mar. 16, 2018","<p>Ida B. Wells was an investigative reporter who exposed the systematic lynching of black men in the South. Her work made her the most famous black woman in the country. But when she died in 1931, at the age of 68, The New York Times failed to write an obituary. Obituaries in The Times have been long dominated by white men. Now, the paper of record is trying to fix the record. Guests: Amisha Padnani, the digital editor on The Times’s obituaries desk and a leader of the Overlooked project; Caitlin Dickerson, a national reporter for The Times; Michelle Duster, a professor at Columbia College Chicago and a great-granddaughter of Ida B. Wells. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-03-15T09:51:10Z,2018-03-15,"Thursday, Mar. 15, 2018","<p>Florida is a great state to be a gun owner. For years, it has been a laboratory of sorts for the National Rifle Association — it’s the state that invented the concealed-carry permit. Gun control proponents had started to resign themselves to the fact that they might never pass any laws. Then came Parkland.</p><p>Guest: Patricia Mazzei, the Miami bureau chief for The New York Times. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-03-14T09:48:41Z,2018-03-14,"Wednesday, Mar. 14, 2018","<p>Rex Tillerson’s relationship with President Trump was rocky from the start. But no one was more surprised than Mr. Tillerson when he was fired as secretary of state on Tuesday. Mr. Tillerson was the most persistent advocate of opening diplomatic channels with North Korea, a position that put him publicly at odds with his boss. As Mr. Trump prepares to meet Kim Jong-un, the North’s leader, we talk to the man who came closest to a deal with Pyongyang about what the current administration can learn from previous attempts. Guests: Mark Landler, a White House correspondent for The New York Times; William Perry, a former secretary of defense and one of the few senior U.S. officials to have negotiated directly with the North Koreans. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-03-13T09:51:43Z,2018-03-13,"Tuesday, Mar. 13, 2018","<p>With the prominent opposition leader Leopoldo López under house arrest, Venezuela thought its loudest political prisoner had finally been silenced. But he refused to buckle, even facing the prospect of going back to prison. Here’s the second part of Mr. López’s story. Guest: Wil S. Hylton, a contributing writer for The New York Times Magazine. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
